var,varDescrip,Keep,renamedVar,notes
hb12b_1,weight/height percent ref. median (who),,,
hb12b_2,weight/height percent ref. median (who),,,
hb12b_3,weight/height percent ref. median (who),,,
hb12b_4,weight/height percent ref. median (who),,,
hb12b_5,weight/height percent ref. median (who),,,
hb12b_6,weight/height percent ref. median (who),,,
hb12b_7,weight/height percent ref. median (who),,,
hb13_1,result of measurement - height/weight,,,
hb13_2,result of measurement - height/weight,,,
hb13_3,result of measurement - height/weight,,,
hb13_4,result of measurement - height/weight,,,
hb13_5,result of measurement - height/weight,,,
hb13_6,result of measurement - height/weight,,,
hb13_7,result of measurement - height/weight,,,
hb32_1,date of birth (cmc),,,
hb32_2,date of birth (cmc),,,
hb32_3,date of birth (cmc),,,
hb32_4,date of birth (cmc),,,
hb32_5,date of birth (cmc),,,
hb32_6,date of birth (cmc),,,
hb32_7,date of birth (cmc),,,
hb33_1,completeness of hb32 information,,,
hb33_2,completeness of hb32 information,,,
hb33_3,completeness of hb32 information,,,
hb33_4,completeness of hb32 information,,,
hb33_5,completeness of hb32 information,,,
hb33_6,completeness of hb32 information,,,
hb33_7,completeness of hb32 information,,,
hb35_1,smoking (cigarettes in last 24 hours),,,
hb35_2,smoking (cigarettes in last 24 hours),,,
hb35_3,smoking (cigarettes in last 24 hours),,,
hb35_4,smoking (cigarettes in last 24 hours),,,
hb35_5,smoking (cigarettes in last 24 hours),,,
hb35_6,smoking (cigarettes in last 24 hours),,,
hb35_7,smoking (cigarettes in last 24 hours),,,
hb40_1,body mass index,,,
hb40_2,body mass index,,,
hb40_3,body mass index,,,
hb40_4,body mass index,,,
hb40_5,body mass index,,,
hb40_6,body mass index,,,
hb40_7,body mass index,,,
hb41_1,rohrer's index,,,
hb41_2,rohrer's index,,,
hb41_3,rohrer's index,,,
hb41_4,rohrer's index,,,
hb41_5,rohrer's index,,,
hb41_6,rohrer's index,,,
hb41_7,rohrer's index,,,
hb50_1,under age 18,,,
hb50_2,under age 18,,,
hb50_3,under age 18,,,
hb50_4,under age 18,,,
hb50_5,under age 18,,,
hb50_6,under age 18,,,
hb50_7,under age 18,,,
hb51_1,line number of parent/caretaker,,,
hb51_2,line number of parent/caretaker,,,
hb51_3,line number of parent/caretaker,,,
hb51_4,line number of parent/caretaker,,,
hb51_5,line number of parent/caretaker,,,
hb51_6,line number of parent/caretaker,,,
hb51_7,line number of parent/caretaker,,,
hb60_1,marital status,,,
hb60_2,marital status,,,
hb60_3,marital status,,,
hb60_4,marital status,,,
hb60_5,marital status,,,
hb60_6,marital status,,,
hb60_7,marital status,,,
hb61_1,read consent statement - hiv,,,
hb61_2,read consent statement - hiv,,,
hb61_3,read consent statement - hiv,,,
hb61_4,read consent statement - hiv,,,
hb61_5,read consent statement - hiv,,,
hb61_6,read consent statement - hiv,,,
hb61_7,read consent statement - hiv,,,
hb62_1,bar code for hiv blood sample,,,
hb62_2,bar code for hiv blood sample,,,
hb62_3,bar code for hiv blood sample,,,
hb62_4,bar code for hiv blood sample,,,
hb62_5,bar code for hiv blood sample,,,
hb62_6,bar code for hiv blood sample,,,
hb62_7,bar code for hiv blood sample,,,
hb63_1,result of measurement - hiv,,,
hb63_2,result of measurement - hiv,,,
hb63_3,result of measurement - hiv,,,
hb63_4,result of measurement - hiv,,,
hb63_5,result of measurement - hiv,,,
hb63_6,result of measurement - hiv,,,
hb63_7,result of measurement - hiv,,,
hb65_1,result of man's individual interview,,,
hb65_2,result of man's individual interview,,,
hb65_3,result of man's individual interview,,,
hb65_4,result of man's individual interview,,,
hb65_5,result of man's individual interview,,,
hb65_6,result of man's individual interview,,,
hb65_7,result of man's individual interview,,,
hb66_1,man's highest educational level,,,
hb66_2,man's highest educational level,,,
hb66_3,man's highest educational level,,,
hb66_4,man's highest educational level,,,
hb66_5,man's highest educational level,,,
hb66_6,man's highest educational level,,,
hb66_7,man's highest educational level,,,
hb67_1,man's highest year of education,,,
hb67_2,man's highest year of education,,,
hb67_3,man's highest year of education,,,
hb67_4,man's highest year of education,,,
hb67_5,man's highest year of education,,,
hb67_6,man's highest year of education,,,
hb67_7,man's highest year of education,,,
hb68_1,man's highest educational level (for preliminary and final report),,,
hb68_2,man's highest educational level (for preliminary and final report),,,
hb68_3,man's highest educational level (for preliminary and final report),,,
hb68_4,man's highest educational level (for preliminary and final report),,,
hb68_5,man's highest educational level (for preliminary and final report),,,
hb68_6,man's highest educational level (for preliminary and final report),,,
hb68_7,man's highest educational level (for preliminary and final report),,,
hb69_1,hiv weight (6 decimals),,,
hb69_2,hiv weight (6 decimals),,,
hb69_3,hiv weight (6 decimals),,,
hb69_4,hiv weight (6 decimals),,,
hb69_5,hiv weight (6 decimals),,,
hb69_6,hiv weight (6 decimals),,,
hb69_7,hiv weight (6 decimals),,,
hb70_1,interviewer that took blood for hiv testing,,,
hb70_2,interviewer that took blood for hiv testing,,,
hb70_3,interviewer that took blood for hiv testing,,,
hb70_4,interviewer that took blood for hiv testing,,,
hb70_5,interviewer that took blood for hiv testing,,,
hb70_6,interviewer that took blood for hiv testing,,,
hb70_7,interviewer that took blood for hiv testing,,,
hmlidx_1,mosquito bed net designation number,,,
hmlidx_2,mosquito bed net designation number,,,
hmlidx_3,mosquito bed net designation number,,,
hmlidx_4,mosquito bed net designation number,,,
hmlidx_5,mosquito bed net designation number,,,
hmlidx_6,mosquito bed net designation number,,,
hmlidx_7,mosquito bed net designation number,,,
hml3_1,net observed by interviewer,,,
hml3_2,net observed by interviewer,,,
hml3_3,net observed by interviewer,,,
hml3_4,net observed by interviewer,,,
hml3_5,net observed by interviewer,,,
hml3_6,net observed by interviewer,,,
hml3_7,net observed by interviewer,,,
hml4_1,months ago net obtained,,,
hml4_2,months ago net obtained,,,
hml4_3,months ago net obtained,,,
hml4_4,months ago net obtained,,,
hml4_5,months ago net obtained,,,
hml4_6,months ago net obtained,,,
hml4_7,months ago net obtained,,,
hml5_1,net treated with insecticide when bought,,,
hml5_2,net treated with insecticide when bought,,,
hml5_3,net treated with insecticide when bought,,,
hml5_4,net treated with insecticide when bought,,,
hml5_5,net treated with insecticide when bought,,,
hml5_6,net treated with insecticide when bought,,,
hml5_7,net treated with insecticide when bought,,,
hml6_1,net treatment status,,,
hml6_2,net treatment status,,,
hml6_3,net treatment status,,,
hml6_4,net treatment status,,,
hml6_5,net treatment status,,,
hml6_6,net treatment status,,,
hml6_7,net treatment status,,,
hml7_1,brand of net,,,
hml7_2,brand of net,,,
hml7_3,brand of net,,,
hml7_4,brand of net,,,
hml7_5,brand of net,,,
hml7_6,brand of net,,,
hml7_7,brand of net,,,
hml8_1,net treated since receiving,,,
hml8_2,net treated since receiving,,,
hml8_3,net treated since receiving,,,
hml8_4,net treated since receiving,,,
hml8_5,net treated since receiving,,,
hml8_6,net treated since receiving,,,
hml8_7,net treated since receiving,,,
hml9_1,time since last re-treatment (months),,,
hml9_2,time since last re-treatment (months),,,
hml9_3,time since last re-treatment (months),,,
hml9_4,time since last re-treatment (months),,,
hml9_5,time since last re-treatment (months),,,
hml9_6,time since last re-treatment (months),,,
hml9_7,time since last re-treatment (months),,,
hml10_1,insecticide-treated net (itn),,,
hml10_2,insecticide-treated net (itn),,,
hml10_3,insecticide-treated net (itn),,,
hml10_4,insecticide-treated net (itn),,,
hml10_5,insecticide-treated net (itn),,,
hml10_6,insecticide-treated net (itn),,,
hml10_7,insecticide-treated net (itn),,,
hml11_1,number of persons who slept under this net,,,
hml11_2,number of persons who slept under this net,,,
hml11_3,number of persons who slept under this net,,,
hml11_4,number of persons who slept under this net,,,
hml11_5,number of persons who slept under this net,,,
hml11_6,number of persons who slept under this net,,,
hml11_7,number of persons who slept under this net,,,
hml21_1,someone slept under this net last night,,,
hml21_2,someone slept under this net last night,,,
hml21_3,someone slept under this net last night,,,
hml21_4,someone slept under this net last night,,,
hml21_5,someone slept under this net last night,,,
hml21_6,someone slept under this net last night,,,
hml21_7,someone slept under this net last night,,,
hmla_1,line number of person who slept in this net,,,
hmla_2,line number of person who slept in this net,,,
hmla_3,line number of person who slept in this net,,,
hmla_4,line number of person who slept in this net,,,
hmla_5,line number of person who slept in this net,,,
hmla_6,line number of person who slept in this net,,,
hmla_7,line number of person who slept in this net,,,
hmlb_1,line number of person who slept in this net,,,
hmlb_2,line number of person who slept in this net,,,
hmlb_3,line number of person who slept in this net,,,
hmlb_4,line number of person who slept in this net,,,
hmlb_5,line number of person who slept in this net,,,
hmlb_6,line number of person who slept in this net,,,
hmlb_7,line number of person who slept in this net,,,
hmlc_1,line number of person who slept in this net,,,
hmlc_2,line number of person who slept in this net,,,
hmlc_3,line number of person who slept in this net,,,
hmlc_4,line number of person who slept in this net,,,
hmlc_5,line number of person who slept in this net,,,
hmlc_6,line number of person who slept in this net,,,
hmlc_7,line number of person who slept in this net,,,
hmld_1,line number of person who slept in this net,,,
hmld_2,line number of person who slept in this net,,,
hmld_3,line number of person who slept in this net,,,
hmld_4,line number of person who slept in this net,,,
hmld_5,line number of person who slept in this net,,,
hmld_6,line number of person who slept in this net,,,
hmld_7,line number of person who slept in this net,,,
hmhidx_01,index to household schedule,,,
hmhidx_02,index to household schedule,,,
hmhidx_03,index to household schedule,,,
hmhidx_04,index to household schedule,,,
hmhidx_05,index to household schedule,,,
hmhidx_06,index to household schedule,,,
hmhidx_07,index to household schedule,,,
hmhidx_08,index to household schedule,,,
hmhidx_09,index to household schedule,,,
hmhidx_10,index to household schedule,,,
hmhidx_11,index to household schedule,,,
hmhidx_12,index to household schedule,,,
hmhidx_13,index to household schedule,,,
hmhidx_14,index to household schedule,,,
hmhidx_15,index to household schedule,,,
hmhidx_16,index to household schedule,,,
hmhidx_17,index to household schedule,,,
hmhidx_18,index to household schedule,,,
hmhidx_19,index to household schedule,,,
hmhidx_20,index to household schedule,,,
hmhidx_21,index to household schedule,,,
hmhidx_22,index to household schedule,,,
hml12_01,type of mosquito bed net(s) person slept under last night,,,
hml12_02,type of mosquito bed net(s) person slept under last night,,,
hml12_03,type of mosquito bed net(s) person slept under last night,,,
hml12_04,type of mosquito bed net(s) person slept under last night,,,
hml12_05,type of mosquito bed net(s) person slept under last night,,,
hml12_06,type of mosquito bed net(s) person slept under last night,,,
hml12_07,type of mosquito bed net(s) person slept under last night,,,
hml12_08,type of mosquito bed net(s) person slept under last night,,,
hml12_09,type of mosquito bed net(s) person slept under last night,,,
hml12_10,type of mosquito bed net(s) person slept under last night,,,
hml12_11,type of mosquito bed net(s) person slept under last night,,,
hml12_12,type of mosquito bed net(s) person slept under last night,,,
hml12_13,type of mosquito bed net(s) person slept under last night,,,
hml12_14,type of mosquito bed net(s) person slept under last night,,,
hml12_15,type of mosquito bed net(s) person slept under last night,,,
hml12_16,type of mosquito bed net(s) person slept under last night,,,
hml12_17,type of mosquito bed net(s) person slept under last night,,,
hml12_18,type of mosquito bed net(s) person slept under last night,,,
hml12_19,type of mosquito bed net(s) person slept under last night,,,
hml12_20,type of mosquito bed net(s) person slept under last night,,,
hml12_21,type of mosquito bed net(s) person slept under last night,,,
hml12_22,type of mosquito bed net(s) person slept under last night,,,
hml13_01,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_02,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_03,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_04,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_05,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_06,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_07,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_08,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_09,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_10,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_11,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_12,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_13,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_14,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_15,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_16,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_17,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_18,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_19,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_20,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_21,net designation number (hmlidx) for 1st net person slept under last night,,,
hml13_22,net designation number (hmlidx) for 1st net person slept under last night,,,
hml14_01,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_02,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_03,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_04,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_05,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_06,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_07,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_08,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_09,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_10,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_11,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_12,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_13,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_14,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_15,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_16,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_17,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_18,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_19,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_20,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_21,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml14_22,net designation number (hmlidx) for 2nd net person slept under last night,,,
hml15_01,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_02,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_03,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_04,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_05,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_06,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_07,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_08,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_09,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_10,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_11,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_12,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_13,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_14,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_15,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_16,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_17,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_18,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_19,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_20,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_21,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml15_22,net designation number (hmlidx) for 3rd net person slept under last night,,,
hml16_01,corrected age from individual file,,,
hml16_02,corrected age from individual file,,,
hml16_03,corrected age from individual file,,,
hml16_04,corrected age from individual file,,,
hml16_05,corrected age from individual file,,,
hml16_06,corrected age from individual file,,,
hml16_07,corrected age from individual file,,,
hml16_08,corrected age from individual file,,,
hml16_09,corrected age from individual file,,,
hml16_10,corrected age from individual file,,,
hml16_11,corrected age from individual file,,,
hml16_12,corrected age from individual file,,,
hml16_13,corrected age from individual file,,,
hml16_14,corrected age from individual file,,,
hml16_15,corrected age from individual file,,,
hml16_16,corrected age from individual file,,,
hml16_17,corrected age from individual file,,,
hml16_18,corrected age from individual file,,,
hml16_19,corrected age from individual file,,,
hml16_20,corrected age from individual file,,,
hml16_21,corrected age from individual file,,,
hml16_22,corrected age from individual file,,,
hml16a_01,age in months (for children),,,
hml16a_02,age in months (for children),,,
hml16a_03,age in months (for children),,,
hml16a_04,age in months (for children),,,
hml16a_05,age in months (for children),,,
hml16a_06,age in months (for children),,,
hml16a_07,age in months (for children),,,
hml16a_08,age in months (for children),,,
hml16a_09,age in months (for children),,,
hml16a_10,age in months (for children),,,
hml16a_11,age in months (for children),,,
hml16a_12,age in months (for children),,,
hml16a_13,age in months (for children),,,
hml16a_14,age in months (for children),,,
hml16a_15,age in months (for children),,,
hml16a_16,age in months (for children),,,
hml16a_17,age in months (for children),,,
hml16a_18,age in months (for children),,,
hml16a_19,age in months (for children),,,
hml16a_20,age in months (for children),,,
hml16a_21,age in months (for children),,,
hml16a_22,age in months (for children),,,
hml17_01,flag for age from individual file,,,
hml17_02,flag for age from individual file,,,
hml17_03,flag for age from individual file,,,
hml17_04,flag for age from individual file,,,
hml17_05,flag for age from individual file,,,
hml17_06,flag for age from individual file,,,
hml17_07,flag for age from individual file,,,
hml17_08,flag for age from individual file,,,
hml17_09,flag for age from individual file,,,
hml17_10,flag for age from individual file,,,
hml17_11,flag for age from individual file,,,
hml17_12,flag for age from individual file,,,
hml17_13,flag for age from individual file,,,
hml17_14,flag for age from individual file,,,
hml17_15,flag for age from individual file,,,
hml17_16,flag for age from individual file,,,
hml17_17,flag for age from individual file,,,
hml17_18,flag for age from individual file,,,
hml17_19,flag for age from individual file,,,
hml17_20,flag for age from individual file,,,
hml17_21,flag for age from individual file,,,
hml17_22,flag for age from individual file,,,
hml18_01,pregnancy status from individual file,,,
hml18_02,pregnancy status from individual file,,,
hml18_03,pregnancy status from individual file,,,
hml18_04,pregnancy status from individual file,,,
hml18_05,pregnancy status from individual file,,,
hml18_06,pregnancy status from individual file,,,
hml18_07,pregnancy status from individual file,,,
hml18_08,pregnancy status from individual file,,,
hml18_09,pregnancy status from individual file,,,
hml18_10,pregnancy status from individual file,,,
hml18_11,pregnancy status from individual file,,,
hml18_12,pregnancy status from individual file,,,
hml18_13,pregnancy status from individual file,,,
hml18_14,pregnancy status from individual file,,,
hml18_15,pregnancy status from individual file,,,
hml18_16,pregnancy status from individual file,,,
hml18_17,pregnancy status from individual file,,,
hml18_18,pregnancy status from individual file,,,
hml18_19,pregnancy status from individual file,,,
hml18_20,pregnancy status from individual file,,,
hml18_21,pregnancy status from individual file,,,
hml18_22,pregnancy status from individual file,,,
hml19_01,person slept under an ever-treated net,,,
hml19_02,person slept under an ever-treated net,,,
hml19_03,person slept under an ever-treated net,,,
hml19_04,person slept under an ever-treated net,,,
hml19_05,person slept under an ever-treated net,,,
hml19_06,person slept under an ever-treated net,,,
hml19_07,person slept under an ever-treated net,,,
hml19_08,person slept under an ever-treated net,,,
hml19_09,person slept under an ever-treated net,,,
hml19_10,person slept under an ever-treated net,,,
hml19_11,person slept under an ever-treated net,,,
hml19_12,person slept under an ever-treated net,,,
hml19_13,person slept under an ever-treated net,,,
hml19_14,person slept under an ever-treated net,,,
hml19_15,person slept under an ever-treated net,,,
hml19_16,person slept under an ever-treated net,,,
hml19_17,person slept under an ever-treated net,,,
hml19_18,person slept under an ever-treated net,,,
hml19_19,person slept under an ever-treated net,,,
hml19_20,person slept under an ever-treated net,,,
hml19_21,person slept under an ever-treated net,,,
hml19_22,person slept under an ever-treated net,,,
hml20_01,person slept under an llin net,,,
hml20_02,person slept under an llin net,,,
hml20_03,person slept under an llin net,,,
hml20_04,person slept under an llin net,,,
hml20_05,person slept under an llin net,,,
hml20_06,person slept under an llin net,,,
hml20_07,person slept under an llin net,,,
hml20_08,person slept under an llin net,,,
hml20_09,person slept under an llin net,,,
hml20_10,person slept under an llin net,,,
hml20_11,person slept under an llin net,,,
hml20_12,person slept under an llin net,,,
hml20_13,person slept under an llin net,,,
hml20_14,person slept under an llin net,,,
hml20_15,person slept under an llin net,,,
hml20_16,person slept under an llin net,,,
hml20_17,person slept under an llin net,,,
hml20_18,person slept under an llin net,,,
hml20_19,person slept under an llin net,,,
hml20_20,person slept under an llin net,,,
hml20_21,person slept under an llin net,,,
hml20_22,person slept under an llin net,,,
hml30_01,line number of parent/caretaker (for malaria testing),,,
hml30_02,line number of parent/caretaker (for malaria testing),,,
hml30_03,line number of parent/caretaker (for malaria testing),,,
hml30_04,line number of parent/caretaker (for malaria testing),,,
hml30_05,line number of parent/caretaker (for malaria testing),,,
hml30_06,line number of parent/caretaker (for malaria testing),,,
hml30_07,line number of parent/caretaker (for malaria testing),,,
hml30_08,line number of parent/caretaker (for malaria testing),,,
hml30_09,line number of parent/caretaker (for malaria testing),,,
hml30_10,line number of parent/caretaker (for malaria testing),,,
hml30_11,line number of parent/caretaker (for malaria testing),,,
hml30_12,line number of parent/caretaker (for malaria testing),,,
hml30_13,line number of parent/caretaker (for malaria testing),,,
hml30_14,line number of parent/caretaker (for malaria testing),,,
hml30_15,line number of parent/caretaker (for malaria testing),,,
hml30_16,line number of parent/caretaker (for malaria testing),,,
hml30_17,line number of parent/caretaker (for malaria testing),,,
hml30_18,line number of parent/caretaker (for malaria testing),,,
hml30_19,line number of parent/caretaker (for malaria testing),,,
hml30_20,line number of parent/caretaker (for malaria testing),,,
hml30_21,line number of parent/caretaker (for malaria testing),,,
hml30_22,line number of parent/caretaker (for malaria testing),,,
hml31_01,read consent statement for malaria,,,
hml31_02,read consent statement for malaria,,,
hml31_03,read consent statement for malaria,,,
hml31_04,read consent statement for malaria,,,
hml31_05,read consent statement for malaria,,,
hml31_06,read consent statement for malaria,,,
hml31_07,read consent statement for malaria,,,
hml31_08,read consent statement for malaria,,,
hml31_09,read consent statement for malaria,,,
hml31_10,read consent statement for malaria,,,
hml31_11,read consent statement for malaria,,,
hml31_12,read consent statement for malaria,,,
hml31_13,read consent statement for malaria,,,
hml31_14,read consent statement for malaria,,,
hml31_15,read consent statement for malaria,,,
hml31_16,read consent statement for malaria,,,
hml31_17,read consent statement for malaria,,,
hml31_18,read consent statement for malaria,,,
hml31_19,read consent statement for malaria,,,
hml31_20,read consent statement for malaria,,,
hml31_21,read consent statement for malaria,,,
hml31_22,read consent statement for malaria,,,
hml32_01,final result of malaria from blood smear test,,,
hml32_02,final result of malaria from blood smear test,,,
hml32_03,final result of malaria from blood smear test,,,
hml32_04,final result of malaria from blood smear test,,,
hml32_05,final result of malaria from blood smear test,,,
hml32_06,final result of malaria from blood smear test,,,
hml32_07,final result of malaria from blood smear test,,,
hml32_08,final result of malaria from blood smear test,,,
hml32_09,final result of malaria from blood smear test,,,
hml32_10,final result of malaria from blood smear test,,,
hml32_11,final result of malaria from blood smear test,,,
hml32_12,final result of malaria from blood smear test,,,
hml32_13,final result of malaria from blood smear test,,,
hml32_14,final result of malaria from blood smear test,,,
hml32_15,final result of malaria from blood smear test,,,
hml32_16,final result of malaria from blood smear test,,,
hml32_17,final result of malaria from blood smear test,,,
hml32_18,final result of malaria from blood smear test,,,
hml32_19,final result of malaria from blood smear test,,,
hml32_20,final result of malaria from blood smear test,,,
hml32_21,final result of malaria from blood smear test,,,
hml32_22,final result of malaria from blood smear test,,,
hml33_01,result of malaria measurement,,,
hml33_02,result of malaria measurement,,,
hml33_03,result of malaria measurement,,,
hml33_04,result of malaria measurement,,,
hml33_05,result of malaria measurement,,,
hml33_06,result of malaria measurement,,,
hml33_07,result of malaria measurement,,,
hml33_08,result of malaria measurement,,,
hml33_09,result of malaria measurement,,,
hml33_10,result of malaria measurement,,,
hml33_11,result of malaria measurement,,,
hml33_12,result of malaria measurement,,,
hml33_13,result of malaria measurement,,,
hml33_14,result of malaria measurement,,,
hml33_15,result of malaria measurement,,,
hml33_16,result of malaria measurement,,,
hml33_17,result of malaria measurement,,,
hml33_18,result of malaria measurement,,,
hml33_19,result of malaria measurement,,,
hml33_20,result of malaria measurement,,,
hml33_21,result of malaria measurement,,,
hml33_22,result of malaria measurement,,,
hml34_01,bar code for blood smear sample,,,
hml34_02,bar code for blood smear sample,,,
hml34_03,bar code for blood smear sample,,,
hml34_04,bar code for blood smear sample,,,
hml34_05,bar code for blood smear sample,,,
hml34_06,bar code for blood smear sample,,,
hml34_07,bar code for blood smear sample,,,
hml34_08,bar code for blood smear sample,,,
hml34_09,bar code for blood smear sample,,,
hml34_10,bar code for blood smear sample,,,
hml34_11,bar code for blood smear sample,,,
hml34_12,bar code for blood smear sample,,,
hml34_13,bar code for blood smear sample,,,
hml34_14,bar code for blood smear sample,,,
hml34_15,bar code for blood smear sample,,,
hml34_16,bar code for blood smear sample,,,
hml34_17,bar code for blood smear sample,,,
hml34_18,bar code for blood smear sample,,,
hml34_19,bar code for blood smear sample,,,
hml34_20,bar code for blood smear sample,,,
hml34_21,bar code for blood smear sample,,,
hml34_22,bar code for blood smear sample,,,
hml35_01,result of malaria rapid test,,,
hml35_02,result of malaria rapid test,,,
hml35_03,result of malaria rapid test,,,
hml35_04,result of malaria rapid test,,,
hml35_05,result of malaria rapid test,,,
hml35_06,result of malaria rapid test,,,
hml35_07,result of malaria rapid test,,,
hml35_08,result of malaria rapid test,,,
hml35_09,result of malaria rapid test,,,
hml35_10,result of malaria rapid test,,,
hml35_11,result of malaria rapid test,,,
hml35_12,result of malaria rapid test,,,
hml35_13,result of malaria rapid test,,,
hml35_14,result of malaria rapid test,,,
hml35_15,result of malaria rapid test,,,
hml35_16,result of malaria rapid test,,,
hml35_17,result of malaria rapid test,,,
hml35_18,result of malaria rapid test,,,
hml35_19,result of malaria rapid test,,,
hml35_20,result of malaria rapid test,,,
hml35_21,result of malaria rapid test,,,
hml35_22,result of malaria rapid test,,,
hmlidx2_1,mosquito bed net designation number,,,
hmlidx2_2,mosquito bed net designation number,,,
hmlidx2_3,mosquito bed net designation number,,,
hmlidx2_4,mosquito bed net designation number,,,
hmlidx2_5,mosquito bed net designation number,,,
hmlidx2_6,mosquito bed net designation number,,,
hmlidx2_7,mosquito bed net designation number,,,
sh133a_1,how did you obtain the net,,,
sh133a_2,how did you obtain the net,,,
sh133a_3,how did you obtain the net,,,
sh133a_4,how did you obtain the net,,,
sh133a_5,how did you obtain the net,,,
sh133a_6,how did you obtain the net,,,
sh133a_7,how did you obtain the net,,,
sh133b_1,holes in the net,,,
sh133b_2,holes in the net,,,
sh133b_3,holes in the net,,,
sh133b_4,holes in the net,,,
sh133b_5,holes in the net,,,
sh133b_6,holes in the net,,,
sh133b_7,holes in the net,,,
sh133c_1,shape of the net,,,
sh133c_2,shape of the net,,,
sh133c_3,shape of the net,,,
sh133c_4,shape of the net,,,
sh133c_5,shape of the net,,,
sh133c_6,shape of the net,,,
sh133c_7,shape of the net,,,
hmhidx2_01,index to household schedule,,,
hmhidx2_02,index to household schedule,,,
hmhidx2_03,index to household schedule,,,
hmhidx2_04,index to household schedule,,,
hmhidx2_05,index to household schedule,,,
hmhidx2_06,index to household schedule,,,
hmhidx2_07,index to household schedule,,,
hmhidx2_08,index to household schedule,,,
hmhidx2_09,index to household schedule,,,
hmhidx2_10,index to household schedule,,,
hmhidx2_11,index to household schedule,,,
hmhidx2_12,index to household schedule,,,
hmhidx2_13,index to household schedule,,,
hmhidx2_14,index to household schedule,,,
hmhidx2_15,index to household schedule,,,
hmhidx2_16,index to household schedule,,,
hmhidx2_17,index to household schedule,,,
hmhidx2_18,index to household schedule,,,
hmhidx2_19,index to household schedule,,,
hmhidx2_20,index to household schedule,,,
hmhidx2_21,index to household schedule,,,
hmhidx2_22,index to household schedule,,,
sh212d_01,accepted medicine,,,
sh212d_02,accepted medicine,,,
sh212d_03,accepted medicine,,,
sh212d_04,accepted medicine,,,
sh212d_05,accepted medicine,,,
sh212d_06,accepted medicine,,,
